priority_rank,priority_type,dataset_name,comparison,cell_type,pathway,gene,reason_to_follow_up,supporting_metric,caution
1,main_candidate_pathway,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,DNA_repair,,High exploratory pathway rank with sufficient overlap for pathway-level context (moderate positive DNA damage-response signature).,pathway_rank_metric=1.619363931094595; avg_signed_effect=0.4135154914347663; n=3,limited pathway-level signal
2,main_candidate_pathway,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,oxidative_stress,,High exploratory pathway rank with sufficient overlap for pathway-level context (pathway genes changed but mostly downregulated).,pathway_rank_metric=1.135604041940302; avg_signed_effect=-0.3466468461270288; n=4,limited pathway-level signal
3,main_candidate_pathway,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,cell_cycle_checkpoint,,High exploratory pathway rank with sufficient overlap for pathway-level context (moderate positive DNA damage-response signature).,pathway_rank_metric=1.06554657426435; avg_signed_effect=0.4214576180863333; n=3,limited pathway-level signal
4,main_candidate_pathway,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,oxidative_stress,,High exploratory pathway rank with sufficient overlap for pathway-level context (weak or unclear signature).,pathway_rank_metric=0.6494534676916411; avg_signed_effect=-0.3708752685101664; n=3,limited pathway-level signal
5,main_candidate_pathway,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,DNA_repair,,High exploratory pathway rank with sufficient overlap for pathway-level context (weak or unclear signature).,pathway_rank_metric=0.356870675944015; avg_signed_effect=0.154871234092737; n=3,limited pathway-level signal
6,pathway_supported_gene,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,oxidative_stress,SOD1,"Strong gene-level contributor under pathway overlap rules—worth closer inspection, not proof of damage.",gene_signal=2.9531668168657728; effect_size=-0.455083026830571,limited pathway-level signal | RNA alone cannot localize injury or prove causality.
7,pathway_supported_gene,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,DNA_repair,ATR,"Strong gene-level contributor under pathway overlap rules—worth closer inspection, not proof of damage.",gene_signal=2.902442296825451; effect_size=0.423728977831044,limited pathway-level signal | RNA alone cannot localize injury or prove causality.
8,pathway_supported_gene,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,cell_cycle_checkpoint,RB1,"Strong gene-level contributor under pathway overlap rules—worth closer inspection, not proof of damage.",gene_signal=2.4187760374112472; effect_size=0.513938035558891,limited pathway-level signal | RNA alone cannot localize injury or prove causality.
9,pathway_supported_gene,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,oxidative_stress,TXN,"Strong gene-level contributor under pathway overlap rules—worth closer inspection, not proof of damage.",gene_signal=1.9483604030749235; effect_size=-0.571782695638896,limited pathway-level signal | RNA alone cannot localize injury or prove causality.
10,pathway_supported_gene,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,DNA_repair,XRCC5,"Strong gene-level contributor under pathway overlap rules—worth closer inspection, not proof of damage.",gene_signal=1.5346591973781722; effect_size=0.302384677445719,limited pathway-level signal | RNA alone cannot localize injury or prove causality.
